Time    GridBlock 29        GridBlock 46        

0       0                   534283              
1       1951913.02201217    534283              
2       1832825.06425986    534283              
3       1752541.71185961    534283              
4       1694524.25355867    534283              
5       1650168.58318264    534283              
6       1614578.39230323    534283              
15      1507806.96709579    534283              
20      1430283.26852509    534283              
25      1367260.05146718    534283              
30      1312667.40095132    534283              
35      1263597.83944974    534283              
40      1218616.98904222    534283              
45      1176700.0647346     534283              
50      1137217.41071403    534283              
55      1099787.8797598     534283              
60      1064140.93258498    534283              
65      1030075.90889168    534283              
70      997441.082348687    534283              
75      966108.679916326    534283              
80      935974.144840314    534283              
85      906947.680316753    534283              
90      878951.966118126    534283              
95      851918.962091577    534283              
100     825788.676715373    534283              
