Time    GridBlock 3         

0       400                 
5       400                 
10      400                 
15      400                 
20      400                 
25      400                 
30      400                 
35      400                 
40      400                 
45      400                 
50      400                 
55      400                 
60      400                 
65      400                 
70      400                 
75      400                 
80      400                 
85      400                 
90      400                 
95      342.397898137509    
100     130.389229093024    
105     53.3785222572075    
110     22.2289248641841    
115     9.29417972737918    
120     3.88964459268426    
125     1.62818389462799    
130     0.681583465751484    
135     0.285324967771571    
