Time    GridBlock 29        GridBlock 46        

0       7750                7750                
1       7028.79695732811    7646.30289707703    
2       6790.20024917454    7571.55948813131    
3       6637.26578264416    7484.23600885585    
4       6518.06230824538    7385.43667998336    
5       6419.66298978487    7279.68956123806    
6       6336.5048299143     7170.80575206263    
7       6264.99926760067    7061.6384089077     
8       6202.67119751533    6954.20500529436    
9       6147.77508375696    6849.90150214483    
10      6098.98885322601    6749.65470924196    
11      6055.29373256089    6654.04777324088    
12      6015.89556301141    6563.41087575167    
13      5980.1734379863     6477.88669482422    
14      5947.62966151789    6397.48362770782    
15      5917.87010977319    6322.107726815      
16      5890.5769998469     6251.59206945311    
17      5865.48575516033    6185.75333676339    
18      5842.37413441794    6124.36944619461    
19      5821.05348344901    6067.20359538409    
20      5801.36134423115    6014.0141040977     
21      5783.15653078741    5964.5605130681     
22      5766.31460140498    5918.6075804513     
23      5750.72498728402    5875.92992742014    
24      5736.28851294956    5836.30991550205    
25      5722.91568732421    5799.53928755552    
26      5710.5252990365     5765.42226471897    
27      5699.04329282884    5733.77450093493    
28      5688.40187348095    5704.42280309303    
29      5678.53877951244    5677.20488011267    
30      5669.39668849823    5651.96896217191    
31      5660.92272244765    5628.57333531781    
32      5653.06802731907    5606.88587006375    
33      5645.78741282028    5586.78350501103    
34      5639.0390407355     5568.15171844528    
35      5632.78415155857    5550.88400684904    
36      5626.9868252553     5534.88137154344    
37      5621.61376397925    5520.05182980722    
38      5616.63408588158    5506.3099580531     
39      5612.01915144649    5493.57645000693    
40      5607.74239290427    5481.77769885031    
41      5603.77916765152    5470.84534930028    
42      5600.1621527977     5460.71791753026    
43      5595.01304699257    5451.27526196315    
44      5589.3739176146     5442.3856199507     
45      5583.44774820346    5433.93440927787    
46      5577.31653331936    5425.82737079902    
47      5571.02981361469    5417.99296173725    
48      5564.62271481114    5410.37157650543    
49      5558.12167508037    5402.91886640756    
50      5551.54706693134    5395.59870871883    
51      5544.91473890431    5388.38279077387    
52      5538.23706885553    5381.24880185453    
53      5531.52374246843    5374.17914899967    
54      5524.78242410357    5367.15936691769    
55      5518.01914629122    5360.1784386001     
56      5511.23858485527    5353.22802461702    
57      5504.44458826022    5346.30137620131    
58      5497.64011406366    5339.39323180436    
59      5490.82757015262    5332.49946721829    
60      5484.00850793769    5325.61685415056    
